disease,id,c,d,e,f,g,h,i
Central Nervous System Fungal Infections,MESH:D020314,,"MYCOSES of the brain, spinal cord, and meninges which may result in ENCEPHALITIS; MENINGITIS, FUNGAL; MYELITIS; BRAIN ABSCESS; and EPIDURAL ABSCESS. Certain types of fungi may produce disease in immunologically normal hosts, while others are classified as opportunistic pathogens, causing illness primarily in immunocompromised individuals (e.g., ACQUIRED IMMUNODEFICIENCY SYNDROME).",MESH:D002494|MESH:D009181,C01.150.703.181|C01.207.198|C10.228.228.198,C01.150.703|C01.207|C10.228.228,"Central Nervous System Mycoses|CNS Fungal Infection|CNS Fungal Infections|Fungal Infection, CNS|Fungal Infections, Central Nervous System|Fungal Infections, CNS|Infection, CNS Fungal|Infections, CNS Fungal|Infections, Fungal, Central Nervous System|Mycoses, Central Nervous System",Bacterial infection or mycosis|Nervous system disease
Central Nervous System Helminthiasis,MESH:D020809,,Infections of the BRAIN; SPINAL CORD; or MENINGES caused by HELMINTHS (parasitic worms).,MESH:D020807,C01.207.205.250|C01.610.105.250|C10.228.228.205.250,C01.207.205|C01.610.105|C10.228.228.205,"Cerebral Helminthiasis|CNS Helminthiases|CNS Helminthiasis|Helminthiases, CNS|Helminthiasis, Central Nervous System|Helminthiasis, Cerebral|Helminthiasis, CNS",Nervous system disease|Parasitic disease
Central Nervous System Infections,MESH:D002494,,"Pathogenic infections of the brain, spinal cord, and meninges. DNA VIRUS INFECTIONS; RNA VIRUS INFECTIONS; BACTERIAL INFECTIONS; MYCOPLASMA INFECTIONS; SPIROCHAETALES INFECTIONS; fungal infections; PROTOZOAN INFECTIONS; HELMINTHIASIS; and PRION DISEASES may involve the central nervous system as a primary or secondary process.",MESH:D002493|MESH:D007239,C01.207|C10.228.228,C01|C10.228,"Central Nervous System Infection|CNS Infection|CNS Infections|Infection, CNS|Infections, Central Nervous System|Infections, CNS",Nervous system disease
Central Nervous System Neoplasms,MESH:D016543,DO:DOID:3620,"Benign and malignant neoplastic processes that arise from or secondarily involve the brain, spinal cord, or meninges.",MESH:D009423,C04.588.614.250|C10.551.240,C04.588.614|C10.551,"Central Nervous System Neoplasm|Central Nervous System Neoplasms, Primary|Central Nervous System Tumor|Central Nervous System Tumors|CNS Neoplasm|CNS Neoplasms|Neoplasm, CNS|Neoplasms, Central Nervous System|Neoplasms, CNS|Primary Central Nervous System Neoplasm|Primary Central Nervous System Neoplasms|Tumors, Central Nervous System",Cancer|Nervous system disease
Central Nervous System Parasitic Infections,MESH:D020807,,"Infections of the brain, spinal cord, and meninges caused by parasites.",MESH:D002494|MESH:D010272,C01.207.205|C01.610.105|C10.228.228.205,C01.207|C01.610|C10.228.228,"CNS Parasitic Infection|CNS Parasitic Infections|Infection, CNS Parasitic|Infections, Central Nervous System, Parasitic|Infections, CNS Parasitic|Infections, Parasitic, Central Nervous System|Parasitic Infection, CNS|Parasitic Infections, Central Nervous System|Parasitic Infections, CNS",Nervous system disease|Parasitic disease
Central Nervous System Protozoal Infections,MESH:D020808,,"Infections of the brain, spinal cord, or meninges by single celled organisms of the former subkingdom known as protozoa. The central nervous system may be the primary or secondary site of protozoal infection. These diseases may occur as OPPORTUNISTIC INFECTIONS or arise in immunocompetent hosts.",MESH:D011528|MESH:D020807,C01.207.205.300|C01.610.105.300|C01.610.752.100|C10.228.228.205.300,C01.207.205|C01.610.105|C01.610.752|C10.228.228.205,"Acanthamoeba Meningoencephalitides|Acanthamoeba Meningoencephalitis|Amebic Meningoencephalitides|Amebic Meningoencephalitides, Primary|Amebic Meningoencephalitis|Amebic Meningoencephalitis, Primary|Balamuthia mandrillaris CNS Infection|Balamuthia mandrillaris Meningoencephalitides|Balamuthia mandrillaris Meningoencephalitis|Cerebral Protozoal Infection|Cerebral Protozoal Infections|CNS Protozoal Infection|CNS Protozoal Infections|Infection, Central Nervous System, Protozoal|Infection, Cerebral Protozoal|Infection, CNS Protozoal|Infection, Naegleria fowleri|Infections, CNS Protozoal|Infections, Protozoal, Central Nervous System|Meningoencephalitides, Acanthamoeba|Meningoencephalitides, Amebic|Meningoencephalitides, Balamuthia mandrillaris|Meningoencephalitides, Naegleria fowleri|Meningoencephalitides, Primary Amebic|Meningoencephalitides, Protozoal|Meningoencephalitides, Sappinia diploidea|Meningoencephalitis, Acanthamoeba|Meningoencephalitis, Amebic|Meningoencephalitis, Balamuthia mandrillaris|Meningoencephalitis, Naegleria fowleri|Meningoencephalitis, Primary Amebic|Meningoencephalitis, Protozoal|Meningoencephalitis, Sappinia diploidea|Naegleria fowleri Infection|Naegleria fowleri Infections|Naegleria fowleri Meningoencephalitides|Naegleria fowleri Meningoencephalitis|Primary Amebic Meningoencephalitides|Primary Amebic Meningoencephalitis|Protozoal Infection, Cerebral|Protozoal Infection, CNS|Protozoal Infections, Central Nervous System|Protozoal Infections, Cerebral|Protozoal Infections, CNS|Protozoal Meningoencephalitides|Protozoal Meningoencephalitis|Sappinia diploidea Meningoencephalitides|Sappinia diploidea Meningoencephalitis",Nervous system disease|Parasitic disease
Central Nervous System Vascular Malformations,MESH:D020785,,"Congenital, inherited, or acquired abnormalities involving ARTERIES; VEINS; or venous sinuses in the BRAIN; SPINAL CORD; and MENINGES.",MESH:D009421|MESH:D054079,C10.500.190|C14.240.850.875|C16.131.240.850.875|C16.131.666.190,C10.500|C14.240.850|C16.131.240.850|C16.131.666,"Arteriovenous Fistula, Dural|Arteriovenous Fistulas, Dural|Brain Capillary Telangiectasia|Brain Capillary Telangiectasias|Brain Vascular Malformation|Brain Vascular Malformations|Capillary Telangiectasia, Brain|Capillary Telangiectasia, Pontine|Capillary Telangiectasias, Brain|Capillary Telangiectasias, Pontine|Central Nervous System Congenital Vascular Malformations|Central Nervous System Vascular Anomalies|Cerebral Embryonic Artery, Persistent|CNS Vascular Malformation|CNS Vascular Malformations|Congenital Vascular Malformations, Central Nervous System|Dural Arteriovenous Fistula|Dural Arteriovenous Fistulas|Embryonic Artery, Persistent, Cerebral|Malformation, Brain Vascular|Malformation, CNS Vascular|Malformations, Brain Vascular|Malformations, CNS Vascular|Persistent Cerebral Embryonic Artery|Pontine Capillary Telangiectasia|Pontine Capillary Telangiectasias|Telangiectasia, Brain Capillary|Telangiectasia, Pontine Capillary|Telangiectasias, Brain Capillary|Telangiectasias, Pontine Capillary|Vascular Anomalies, Central Nervous System|Vascular Malformation, Brain|Vascular Malformation, CNS|Vascular Malformations, Brain|Vascular Malformations, Central Nervous System|Vascular Malformations, CNS|Vascular Malformations, Congenital, Nervous System",Cardiovascular disease|Congenital abnormality|Nervous system disease
Central Nervous System Venous Angioma,MESH:D020787,,"A vascular anomaly characterized by a radial or wedge-shaped arrangement of dilated VEINS draining into a larger vein in the brain, spinal cord, or the meninges. Veins in a venous angioma are surrounded by normal nervous tissue, unlike a CENTRAL NERVOUS SYSTEM CAVERNOUS HEMANGIOMA that lacks intervening nervous tissue. Drainage of venous angioma is fully integrated with the body's venous system, therefore, in most cases there is no clinical signs and rare bleeding.",MESH:D006391|MESH:D020785,C04.557.645.375.185|C10.500.190.100|C14.240.850.875.124|C16.131.666.190.100,C04.557.645.375|C10.500.190|C14.240.850.875|C16.131.666.190,"Angioma, Cerebral Venous|Angioma, CNS Venous|Angioma, Intracranial Venous|Angiomas, Cerebral Venous|Angiomas, CNS Venous|Angiomas, Intracranial Venous|Angioma, Venous, Central Nervous System|Cerebral Venous Angioma|Cerebral Venous Angiomas|CNS Venous Angioma|CNS Venous Angiomas|Intracranial Venous Angioma|Intracranial Venous Angiomas|Venous Angioma, Central Nervous System|Venous Angioma, Cerebral|Venous Angioma, CNS|Venous Angioma, Intracranial|Venous Angiomas, Cerebral|Venous Angiomas, CNS|Venous Angiomas, Intracranial",Cancer|Cardiovascular disease|Congenital abnormality|Nervous system disease
Central Nervous System Viral Diseases,MESH:D020805,,"Viral infections of the brain, spinal cord, meninges, or perimeningeal spaces.",MESH:D002494|MESH:D014777,C01.207.245|C01.925.182|C10.228.228.245,C01.207|C01.925|C10.228.228,"Central Nervous System Viral Infections|CNS Infections, Viral|CNS Infection, Viral|CNS Viral Disease|CNS Viral Diseases|Disease, CNS Viral|Diseases, CNS Viral|Infections, CNS, Viral|Infections, Viral CNS|Infection, Viral CNS|Viral CNS Infection|Viral CNS Infections|Viral Disease, CNS|Viral Diseases, Central Nervous System|Viral Diseases, CNS|Viral Infections, Central Nervous System",Nervous system disease|Viral disease
Central precocious puberty 2,MESH:C000726751,,,MESH:D011629,C19.391.693/C000726751,C19.391.693,,Endocrine system disease
Central Serous Chorioretinopathy,MESH:D056833,,A visual impairment characterized by the accumulation of fluid under the retina through a defect in the retinal pigment epithelium.,MESH:D012164,C11.768.175,C11.768,"Central Serous Chorioretinopathies|Central Serous Retinopathies|Central Serous Retinopathy|Chorioretinopathies, Central Serous|Chorioretinopathy, Central Serous|Retinopathies, Central Serous|Retinopathy, Central Serous|Serous Chorioretinopathies, Central|Serous Chorioretinopathy, Central|Serous Retinopathies, Central|Serous Retinopathy, Central",Eye disease
Cephalin Lipidosis,MESH:C565872,,,MESH:D008064|MESH:D008607,C10.597.606.360/C565872|C16.320.565.398.641/C565872|C18.452.584.563.641/C565872|C18.452.648.398.641/C565872|C23.888.592.604.646/C565872|F03.625.539/C565872,C10.597.606.360|C16.320.565.398.641|C18.452.584.563.641|C18.452.648.398.641|C23.888.592.604.646|F03.625.539,,Genetic disease (inborn)|Mental disorder|Metabolic disease|Nervous system disease|Signs and symptoms
Cephalopelvic Disproportion,MESH:D052178,,A condition in which the HEAD of the FETUS is larger than the mother's PELVIS through which the fetal head must pass during a vaginal delivery.,MESH:D007744,C12.050.703.420.235,C12.050.703.420,"Disproportion, Cephalopelvic",Pregnancy complication
Cerebellar Ataxia,MESH:D002524,DO:DOID:0050753,"Incoordination of voluntary movements that occur as a manifestation of CEREBELLAR DISEASES. Characteristic features include a tendency for limb movements to overshoot or undershoot a target (dysmetria), a tremor that occurs during attempted movements (intention TREMOR), impaired force and rhythm of diadochokinesis (rapidly alternating movements), and GAIT ATAXIA. (From Adams et al., Principles of Neurology, 6th ed, p90)",MESH:D001259|MESH:D002526,C10.228.140.252.190|C10.597.350.090.500|C23.888.592.350.090.200,C10.228.140.252|C10.597.350.090|C23.888.592.350.090,"Adiadochokineses|Adiadochokinesis|Ataxia, Cerebellar|Ataxias, Cerebellar|Cerebellar Ataxias|Cerebellar Dysmetria|Cerebellar Dysmetrias|Cerebellar Hemiataxia|Cerebellar Hemiataxias|Cerebellar Incoordination|Cerebellar Incoordinations|Dysmetria|Dysmetria, Cerebellar|Dysmetrias|Dysmetrias, Cerebellar|Hemiataxia, Cerebellar|Hemiataxias, Cerebellar|Hypermetria|Hypermetrias|Incoordination, Cerebellar|Incoordinations, Cerebellar",Nervous system disease|Signs and symptoms
Cerebellar Ataxia and Hypergonadotropic Hypogonadism,MESH:C565308,,,MESH:D002524|MESH:D006319|MESH:D007006,C09.218.458.341.887/C565308|C10.228.140.252.190/C565308|C10.597.350.090.500/C565308|C10.597.751.418.341.887/C565308|C19.391.482/C565308|C23.888.592.350.090.200/C565308|C23.888.592.763.393.341.887/C565308,C09.218.458.341.887|C10.228.140.252.190|C10.597.350.090.500|C10.597.751.418.341.887|C19.391.482|C23.888.592.350.090.200|C23.888.592.763.393.341.887,,Ear-nose-throat disease|Endocrine system disease|Nervous system disease|Signs and symptoms
Cerebellar Ataxia and Hypogonadotropic Hypogonadism,MESH:C565870,DO:DOID:0111587|OMIM:212840,,MESH:D002524|MESH:D007006,C10.228.140.252.190/C565870|C10.597.350.090.500/C565870|C19.391.482/C565870|C23.888.592.350.090.200/C565870,C10.228.140.252.190|C10.597.350.090.500|C19.391.482|C23.888.592.350.090.200,"CAHH|CEREBELLAR ATAXIA AND HYPOGONADOTROPIC HYPOGONADISM|GDHS|Gordon Holmes Syndrome|LHRH Deficiency and Ataxia|Luteinizing Hormone-Releasing Hormone, Deficiency of, with Ataxia",Endocrine system disease|Nervous system disease|Signs and symptoms
Cerebellar Ataxia and Neurosensory Deafness,MESH:C565869,,,MESH:D002524|MESH:D006319,C09.218.458.341.887/C565869|C10.228.140.252.190/C565869|C10.597.350.090.500/C565869|C10.597.751.418.341.887/C565869|C23.888.592.350.090.200/C565869|C23.888.592.763.393.341.887/C565869,C09.218.458.341.887|C10.228.140.252.190|C10.597.350.090.500|C10.597.751.418.341.887|C23.888.592.350.090.200|C23.888.592.763.393.341.887,,Ear-nose-throat disease|Nervous system disease|Signs and symptoms
"Cerebellar Ataxia, Benign, with Thermoanalgesia",MESH:C565868,,,MESH:D002524|MESH:D020886,C10.228.140.252.190/C565868|C10.597.350.090.500/C565868|C10.597.751.791/C565868|C23.888.592.350.090.200/C565868|C23.888.592.763.770/C565868,C10.228.140.252.190|C10.597.350.090.500|C10.597.751.791|C23.888.592.350.090.200|C23.888.592.763.770,Cerebellar Ataxia with Loss of Pain and Temperature Sensation,Nervous system disease|Signs and symptoms
"Cerebellar Ataxia, Cayman Type",MESH:C563363,DO:DOID:0060694|OMIM:601238,,MESH:D002524,C10.228.140.252.190/C563363|C10.597.350.090.500/C563363|C23.888.592.350.090.200/C563363,C10.228.140.252.190|C10.597.350.090.500|C23.888.592.350.090.200,ATCAY,Nervous system disease|Signs and symptoms
"Cerebellar Ataxia, Deafness, and Narcolepsy",MESH:C565825,OMIM:604121,,MESH:D002524|MESH:D006319|MESH:D009290,C09.218.458.341.887/C565825|C10.228.140.252.190/C565825|C10.597.350.090.500/C565825|C10.597.751.418.341.887/C565825|C10.886.425.800.200.750/C565825|C23.888.592.350.090.200/C565825|C23.888.592.763.393.341.887/C565825|F03.870.400.800.200.750/C565825,C09.218.458.341.887|C10.228.140.252.190|C10.597.350.090.500|C10.597.751.418.341.887|C10.886.425.800.200.750|C23.888.592.350.090.200|C23.888.592.763.393.341.887|F03.870.400.800.200.750,"ADCADN|CEREBELLAR ATAXIA, DEAFNESS, AND NARCOLEPSY, AUTOSOMAL DOMINANT",Ear-nose-throat disease|Mental disorder|Nervous system disease|Signs and symptoms
Cerebellar ataxia ectodermal dysplasia,MESH:C535350,,,MESH:D002524|MESH:D004476,C10.228.140.252.190/C535350|C10.597.350.090.500/C535350|C16.131.077.350/C535350|C16.131.831.350/C535350|C16.320.850.250/C535350|C17.800.804.350/C535350|C17.800.827.250/C535350|C23.888.592.350.090.200/C535350,C10.228.140.252.190|C10.597.350.090.500|C16.131.077.350|C16.131.831.350|C16.320.850.250|C17.800.804.350|C17.800.827.250|C23.888.592.350.090.200,Cerebellar Ataxia and Ectodermal Dysplasia|Ectodermal dysplasia and cerebellar ataxia,Congenital abnormality|Genetic disease (inborn)|Nervous system disease|Signs and symptoms|Skin disease
"Cerebellar Ataxia, Mental Retardation, And Dysequilibrium Syndrome 2",MESH:C567656,OMIM:610185,,MESH:D002524|MESH:D008607,C10.228.140.252.190/C567656|C10.597.350.090.500/C567656|C10.597.606.360/C567656|C23.888.592.350.090.200/C567656|C23.888.592.604.646/C567656|F03.625.539/C567656,C10.228.140.252.190|C10.597.350.090.500|C10.597.606.360|C23.888.592.350.090.200|C23.888.592.604.646|F03.625.539,"CAMRQ2|Cerebellar Ataxia And Mental Retardation With Or Without Quadrupedal Locomotion 2|CEREBELLAR ATAXIA, IMPAIRED INTELLECTUAL DEVELOPMENT, AND DYSEQUILIBRIUM SYNDROME 2|CEREBELLAR ATAXIA, MENTAL RETARDATION, AND DYSEQUILIBRIUM SYNDROME 2",Mental disorder|Nervous system disease|Signs and symptoms
"Cerebellar Ataxia, Mental Retardation, And Dysequilibrium Syndrome 3",MESH:C567690,OMIM:613227,,MESH:D002524|MESH:D008607,C10.228.140.252.190/C567690|C10.597.350.090.500/C567690|C10.597.606.360/C567690|C23.888.592.350.090.200/C567690|C23.888.592.604.646/C567690|F03.625.539/C567690,C10.228.140.252.190|C10.597.350.090.500|C10.597.606.360|C23.888.592.350.090.200|C23.888.592.604.646|F03.625.539,"CAMRQ3|Cerebellar Ataxia And Mental Retardation With Or Without Quadrupedal Locomotion 3|CEREBELLAR ATAXIA, IMPAIRED INTELLECTUAL DEVELOPMENT, AND DYSEQUILIBRIUM SYNDROME 3|CEREBELLAR ATAXIA, MENTAL RETARDATION, AND DYSEQUILIBRIUM SYNDROME 3",Mental disorder|Nervous system disease|Signs and symptoms
"CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, AND PSYCHOMOTOR RETARDATION",OMIM:616875,DO:DOID:0081276,,MESH:C562568|MESH:D011596|MESH:D014786,C10.500/C562568/616875|C10.597.606.881/616875|C10.597.751.941/616875|C11.966/616875|C16.131.666/C562568/616875|C23.888.592.604.882/616875|C23.888.592.763.941/616875|F03.625.421/C562568/616875,C10.500/C562568|C10.597.606.881|C10.597.751.941|C11.966|C16.131.666/C562568|C23.888.592.604.882|C23.888.592.763.941|F03.625.421/C562568,CAVIPMR,Congenital abnormality|Eye disease|Mental disorder|Nervous system disease|Signs and symptoms
CEREBELLAR DEGENERATION-RELATED AUTOANTIGEN 3,OMIM:602197,,,MESH:D002526,C10.228.140.252/602197,C10.228.140.252,CDR3,Nervous system disease
"Cerebellar degeneration, subacute",MESH:C535352,,,MESH:D002526|MESH:D009410,C10.228.140.252/C535352|C23.550.737/C535352,C10.228.140.252|C23.550.737,Subacute cerebellar degeneration,Nervous system disease|Pathology (process)
Cerebellar Diseases,MESH:D002526,DO:DOID:2786,"Diseases that affect the structure or function of the cerebellum. Cardinal manifestations of cerebellar dysfunction include dysmetria, GAIT ATAXIA, and MUSCLE HYPOTONIA.",MESH:D001927,C10.228.140.252,C10.228.140,"Cerebellar Disease|Cerebellar Disorder|Cerebellar Disorders|Cerebellar Dysfunction|Cerebellar Dysfunctions|Cerebellar Syndrome|Cerebellar Syndromes|Cerebellum Disease|Cerebellum Diseases|Disease, Cerebellar|Disease, Cerebellum|Disorder, Cerebellar|Dysfunction, Cerebellar|Syndrome, Cerebellar",Nervous system disease
CEREBELLAR DYSFUNCTION WITH VARIABLE COGNITIVE AND BEHAVIORAL ABNORMALITIES,OMIM:614756,DO:DOID:0050998,,MESH:D002524|MESH:D008607|MESH:D060825,C10.228.140.252.190/614756|C10.597.350.090.500/614756|C10.597.606.360/614756|C23.888.592.350.090.200/614756|C23.888.592.604.646/614756|F03.615.250.700/614756|F03.625.539/614756,C10.228.140.252.190|C10.597.350.090.500|C10.597.606.360|C23.888.592.350.090.200|C23.888.592.604.646|F03.615.250.700|F03.625.539,"CANPMR|CECBA|CEREBELLAR ATAXIA, NONPROGRESSIVE, WITH MENTAL RETARDATION",Mental disorder|Nervous system disease|Signs and symptoms
Cerebellar Granule Cell Hypertrophy and Megalencephaly,MESH:C563565,,,MESH:D006223|MESH:D065703,C04.445.435/C563565|C04.651.435/C563565|C04.700.435/C563565|C10.500.507.400/C563565|C16.131.666.507.400/C563565|C16.320.700.435/C563565,C04.445.435|C04.651.435|C04.700.435|C10.500.507.400|C16.131.666.507.400|C16.320.700.435,,Cancer|Congenital abnormality|Genetic disease (inborn)|Nervous system disease
